Dataset,nSamples,nFeatures,Model,k,Accuracy,TrainTime,PredTime,SupportCount
Ionosphere,351,34,nn-clas,,0.87,69.40,2.40,101,
Ionosphere,351,34,knn-clas,1,0.85,27.40,3.00,252,
Ionosphere,351,34,knn-clas,3,0.87,27.40,3.00,252,
Ionosphere,351,34,knn-clas,5,0.87,27.40,2.90,252,
Binary Digits,360,64,nn-clas,,1.00,236.80,3.00,131,
Binary Digits,360,64,knn-clas,1,0.52,93.70,3.40,267,
Binary Digits,360,64,knn-clas,3,0.52,93.70,3.20,267,
Binary Digits,360,64,knn-clas,5,0.52,93.70,3.40,267,
Haberman,306,3,nn-clas,,0.71,17.10,2.20,54,
Haberman,306,3,knn-clas,1,0.68,10.10,2.90,223,
Haberman,306,3,knn-clas,3,0.69,10.10,3.00,223,
Haberman,306,3,knn-clas,5,0.69,10.10,2.90,223,
Pima Diabetes,768,8,nn-clas,,0.73,75.70,2.30,113,
Pima Diabetes,768,8,knn-clas,1,0.52,29.90,4.70,594,
Pima Diabetes,768,8,knn-clas,3,0.52,29.90,4.60,594,
Pima Diabetes,768,8,knn-clas,5,0.52,29.90,4.80,594,
Banknote,1372,4,nn-clas,,1.00,302.00,3.10,159,
Banknote,1372,4,knn-clas,1,0.99,48.70,3.30,179,
Banknote,1372,4,knn-clas,3,0.99,48.70,3.60,179,
Banknote,1372,4,knn-clas,5,0.99,48.70,3.60,179,
Sonar,208,60,nn-clas,,0.77,67.00,2.90,143,
Sonar,208,60,knn-clas,1,0.85,28.30,3.00,186,
Sonar,208,60,knn-clas,3,0.83,28.30,3.10,186,
Sonar,208,60,knn-clas,5,0.81,28.30,3.00,186,
Breast Cancer,569,30,nn-clas,,0.93,65.30,2.30,8,
Breast Cancer,569,30,knn-clas,1,0.39,14.70,3.00,122,
Breast Cancer,569,30,knn-clas,3,0.39,14.70,3.00,122,
Breast Cancer,569,30,knn-clas,5,0.39,14.70,2.90,122,
SPECT Heart,349,44,nn-clas,,0.70,356.20,5.20,98,
SPECT Heart,349,44,knn-clas,1,0.95,152.50,6.10,275,
SPECT Heart,349,44,knn-clas,3,0.95,152.50,6.10,275,
SPECT Heart,349,44,knn-clas,5,0.95,152.50,5.80,275,
